2024-11-13 03:09:37.541 | INFO     | __main__:run:119 - Loaded +- 4 proxies per account
2024-11-13 03:16:19.248 | INFO     | __main__:process_multiple_farming:76 - Active accounts: 0
2024-11-13 03:18:42.512 | INFO     | __main__:run:118 - Loaded +- 4 proxies per account


2024-11-13 03:18:45.525 | INFO     | __main__:process_multiple_farming:59 - Account: vanhoanganh.24@gmail.com | Sleeping for 6 seconds before starting...
2024-11-13 03:18:51.538 | INFO     | __main__:process_multiple_farming:63 - Active accounts: 1
2024-11-13 03:18:51.538 | ERROR    | __main__:process_multiple_farming:68 - Account: vanhoanganh.24@gmail.com | An error occurred: 'MultipleAccount' object has no attribute 'proxy' | Stopped farming
2024-11-13 03:18:51.539 | INFO     | __main__:process_multiple_farming:73 - Active accounts: 0
2024-11-13 03:21:55.834 | INFO     | __main__:run:118 - Loaded +- 4 proxies per account


2024-11-13 03:21:58.839 | INFO     | __main__:process_multiple_farming:59 - Account: vanhoanganh.24@gmail.com | Sleeping for 10 seconds before starting...
2024-11-13 03:22:08.852 | INFO     | __main__:process_multiple_farming:63 - Active accounts: 1
2024-11-13 03:22:08.852 | ERROR    | __main__:process_multiple_farming:68 - Account: vanhoanganh.24@gmail.com | An error occurred: 'MultipleAccount' object has no attribute 'proxy' | Stopped farming
2024-11-13 03:22:08.852 | INFO     | __main__:process_multiple_farming:73 - Active accounts: 0
2024-11-13 03:23:59.114 | INFO     | __main__:process_verify_accounts:31 - Account: test@gmail.com | Sleeping for 5 seconds before starting...
2024-11-13 03:24:04.114 | INFO     | core.bot:process_login:94 - Account: test@gmail.com | Logging in... 
2024-11-13 03:24:05.171 | ERROR    | core.bot:process_login:100 - Account: test@gmail.com | Login failed: API returned an error: {'error': {'code': 400, 'message': 'INVALID_LOGIN_CREDENTIALS', 'errors': [{'message': 'INVALID_LOGIN_CREDENTIALS', 'domain': 'global', 'reason': 'invalid'}]}} 
2024-11-13 03:24:05.185 | DEBUG    | utils.file_utils:export_results:37 - Results exported to results folder
2024-11-13 03:24:25.158 | INFO     | __main__:run:118 - Loaded +- 4 proxies per account


2024-11-13 03:24:28.174 | INFO     | __main__:process_multiple_farming:59 - Account: vanhoanganh.24@gmail.com | Sleeping for 8 seconds before starting...
2024-11-13 03:24:36.175 | INFO     | __main__:process_multiple_farming:63 - Active accounts: 1
2024-11-13 03:24:36.175 | ERROR    | __main__:process_multiple_farming:68 - Account: vanhoanganh.24@gmail.com | An error occurred: 'MultipleAccount' object has no attribute 'proxy' | Stopped farming
2024-11-13 03:24:36.176 | INFO     | __main__:process_multiple_farming:73 - Active accounts: 0
2024-11-13 03:26:20.291 | INFO     | __main__:run:118 - Loaded +- 4 proxies per account


2024-11-13 03:26:23.295 | INFO     | __main__:process_multiple_farming:59 - Account: vanhoanganh.24@gmail.com | Sleeping for 8 seconds before starting...
2024-11-13 03:26:31.306 | INFO     | __main__:process_multiple_farming:63 - Active accounts: 1
2024-11-13 03:26:31.306 | ERROR    | __main__:process_multiple_farming:68 - Account: vanhoanganh.24@gmail.com | An error occurred: 'MultipleAccount' object has no attribute 'proxy' | Stopped farming
2024-11-13 03:26:31.306 | INFO     | __main__:process_multiple_farming:73 - Active accounts: 0
2024-11-14 00:40:59.671 | INFO     | __main__:run:118 - Loaded +- 4 proxies per account


2024-11-14 00:41:02.682 | INFO     | __main__:process_multiple_farming:59 - Account: vanhoanganh.24@gmail.com | Sleeping for 5 seconds before starting...
2024-11-14 00:41:07.687 | INFO     | __main__:process_multiple_farming:63 - Active accounts: 1
2024-11-14 00:41:07.687 | ERROR    | __main__:process_multiple_farming:68 - Account: vanhoanganh.24@gmail.com | An error occurred: 'MultipleAccount' object has no attribute 'proxy' | Stopped farming
2024-11-14 00:41:07.688 | INFO     | __main__:process_multiple_farming:73 - Active accounts: 0
2024-11-14 00:55:39.718 | INFO     | __main__:run:118 - Loaded +- 4 proxies per account


2024-11-14 00:55:42.725 | INFO     | __main__:process_multiple_farming:59 - Account: vanhoanganh.24@gmail.com | Sleeping for 5 seconds before starting...
2024-11-14 00:55:47.727 | INFO     | __main__:process_multiple_farming:63 - Active accounts: 1
2024-11-14 00:55:47.727 | ERROR    | __main__:process_multiple_farming:68 - Account: vanhoanganh.24@gmail.com | An error occurred: 'MultipleAccount' object has no attribute 'proxy' | Stopped farming
2024-11-14 00:55:47.727 | INFO     | __main__:process_multiple_farming:73 - Active accounts: 0
2024-11-14 00:56:55.066 | INFO     | __main__:run:129 - Loaded +- 4 proxies per account


2024-11-14 00:56:58.069 | INFO     | __main__:process_multiple_farming:65 - Account: vanhoanganh.24@gmail.com | Sleeping for 7 seconds before starting...
2024-11-14 00:57:05.079 | INFO     | __main__:process_multiple_farming:69 - Active accounts: 1
2024-11-14 00:57:05.079 | ERROR    | __main__:process_multiple_farming:74 - Account: vanhoanganh.24@gmail.com | An error occurred: 'MultipleAccount' object has no attribute 'proxy' | Stopped farming
2024-11-14 00:57:05.080 | INFO     | __main__:process_multiple_farming:79 - Active accounts: 0
2024-11-14 00:58:02.429 | INFO     | __main__:run:129 - Loaded +- 4 proxies per account


2024-11-14 00:58:05.445 | INFO     | __main__:process_multiple_farming:65 - Account: vanhoanganh.24@gmail.com | Sleeping for 7 seconds before starting...
2024-11-14 00:58:12.461 | INFO     | __main__:process_multiple_farming:69 - Active accounts: 1
2024-11-14 00:58:12.461 | ERROR    | __main__:process_multiple_farming:74 - Account: vanhoanganh.24@gmail.com | An error occurred: 'MultipleAccount' object has no attribute 'proxy' | Stopped farming
2024-11-14 00:58:12.462 | INFO     | __main__:process_multiple_farming:79 - Active accounts: 0
2024-11-14 01:00:55.579 | INFO     | __main__:run:129 - Loaded +- 4 proxies per account


2024-11-14 01:00:58.594 | INFO     | __main__:process_multiple_farming:65 - Account: vanhoanganh.24@gmail.com | Sleeping for 6 seconds before starting...
2024-11-14 01:01:04.599 | INFO     | __main__:process_multiple_farming:69 - Active accounts: 1
2024-11-14 01:01:04.599 | ERROR    | __main__:process_multiple_farming:74 - Account: vanhoanganh.24@gmail.com | An error occurred: 'MultipleAccount' object has no attribute 'proxy' | Stopped farming
2024-11-14 01:01:04.600 | INFO     | __main__:process_multiple_farming:79 - Active accounts: 0
2024-11-14 01:01:50.233 | ERROR    | core.auth:manual_login:50 - Authentication failed: Invalid username or password
2024-11-14 01:02:10.030 | INFO     | __main__:run:129 - Loaded +- 4 proxies per account


2024-11-14 01:02:13.040 | INFO     | __main__:process_multiple_farming:65 - Account: vanhoanganh.24@gmail.com | Sleeping for 5 seconds before starting...
2024-11-14 01:02:18.049 | INFO     | __main__:process_multiple_farming:69 - Active accounts: 1
2024-11-14 01:02:18.049 | ERROR    | __main__:process_multiple_farming:74 - Account: vanhoanganh.24@gmail.com | An error occurred: 'MultipleAccount' object has no attribute 'proxy' | Stopped farming
2024-11-14 01:02:18.050 | INFO     | __main__:process_multiple_farming:79 - Active accounts: 0
2024-11-14 01:05:11.438 | INFO     | __main__:run:129 - Loaded +- 4 proxies per account


2024-11-14 01:05:14.439 | INFO     | __main__:process_multiple_farming:65 - Account: vanhoanganh.24@gmail.com | Sleeping for 9 seconds before starting...
2024-11-14 01:05:23.447 | INFO     | __main__:process_multiple_farming:69 - Active accounts: 1
2024-11-14 01:05:23.447 | ERROR    | __main__:process_multiple_farming:74 - Account: vanhoanganh.24@gmail.com | An error occurred: 'MultipleAccount' object has no attribute 'proxy' | Stopped farming
2024-11-14 01:05:23.447 | INFO     | __main__:process_multiple_farming:79 - Active accounts: 0
